date,erva,age,susceptible,infected detected,infected undetected,infected,exposed,recovered,First dose,Second dose,ward,icu,death,First dose cumulative,Second dose cumulative
2020-03-06,HYKS,0-9,221600.61344537814,1.126050420168067,11.26050420168067,7.078031212484992,5.308523409363744,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-07,HYKS,0-9,221602.7394957983,0.9327731092436973,9.327731092436974,5.86314525810324,4.39735894357743,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-08,HYKS,0-9,221601.72268907563,1.0252100840336134,10.252100840336134,6.444177671068426,4.83313325330132,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-09,HYKS,0-9,221602.0,0.9999999999999999,9.999999999999998,6.285714285714285,4.7142857142857135,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-10,HYKS,0-9,221601.65299684543,1.031545741324921,10.31545741324921,6.484001802613788,4.8630013519603414,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-11,HYKS,0-9,221602.7266654296,0.9339395064019294,9.339395064019293,5.870476897383555,4.4028576730376665,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-12,HYKS,0-9,221603.14102802004,0.8962701799962876,8.962701799962876,5.633698274262379,4.225273705696784,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-13,HYKS,0-9,221602.50417517166,0.9541658934867305,9.541658934867305,5.997614187630877,4.4982106407231575,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-14,HYKS,0-9,221604.39840415661,0.7819632584895139,7.819632584895139,4.9151976247912295,3.686398218593422,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-15,HYKS,0-9,221606.46613471888,0.5939877528298365,5.939877528298365,3.7336373035018298,2.8002279776263723,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-16,HYKS,0-9,221606.09463722399,0.6277602523659279,6.277602523659279,3.945921586300118,2.9594411897250885,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-17,HYKS,0-9,221601.30830704523,1.062881177707673,10.62881177707673,6.680967402733945,5.0107255520504586,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-18,HYKS,0-9,221598.38692604276,1.3284612688398147,13.284612688398148,8.35032797556455,6.262745981673413,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-19,HYKS,0-9,221591.724851034,1.9341044514546057,19.341044514546056,12.157227980571806,9.117920985428855,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-20,HYKS,0-9,221583.84209603924,2.650718541885731,26.507185418857308,16.661659406138877,12.496244554604159,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-21,HYKS,0-9,221577.56943568174,3.2209603925692214,32.209603925692214,20.246036753292245,15.184527564969184,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-22,HYKS,0-9,221569.41216263582,3.962530669470728,39.62530669470728,24.907335636673146,18.680501727504858,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-23,HYKS,0-9,221563.5,4.499999999999996,44.99999999999996,28.285714285714256,21.21428571428569,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-24,HYKS,0-9,221559.72367601245,4.843302180685352,48.43302180685352,30.443613707165063,22.8327102803738,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-03-25,HYKS,0-9,221552.73145150574,5.44901349948078,54.4901349948078,34.25094199673633,25.688206497552247,0,0.0,0.0,0.261,0.0684,0.0012,0,0
2020-03-26,HYKS,0-9,221550.91884569055,5.607995846313592,56.079958463135924,35.25025960539972,26.43769470404979,0,0.0,0.0,0.3248,0.0684,0.0018,0,0
2020-03-27,HYKS,0-9,221549.77653852545,5.709241952232595,57.09241952232595,35.886663699747736,26.914997774810804,0,0.0,0.0,0.3306,0.0912,0.0036,0,0
2020-03-28,HYKS,0-9,221547.6622083074,5.901453790238824,59.01453790238824,37.09485239578689,27.821139296840165,0,0.0,0.0,0.3306,0.0912,0.0036,0,0
2020-03-29,HYKS,0-9,221546.61637050883,5.984839044652114,59.84839044652114,37.61898828067043,28.214241210502824,0,0.0,0.0,0.4059999999999999,0.1444,0.0059999999999999,0,0
2020-03-30,HYKS,0-9,221545.6271700935,6.074766355140171,60.74766355140171,38.184245660881075,28.638184245660806,0,0.0,0.0,0.4059999999999999,0.1444,0.0059999999999999,0,0
2020-03-31,HYKS,0-9,221540.96079263173,6.503927942570757,65.03927942570756,40.88183278187332,30.661374586404992,0,0.0,0.0,0.3364,0.1596,0.0072,0,0
2020-04-01,HYKS,0-9,221534.47492962985,7.087933670014113,70.87933670014112,44.55272592580299,33.41454444435224,0,0.0,0.0,0.3944,0.1634,0.0072,0,0
2020-04-02,HYKS,0-9,221521.71263302956,8.249724270041204,82.49724270041204,51.85540969740185,38.89155727305139,0,0.0,0.0,0.377,0.1634,0.0078,0,0
2020-04-03,HYKS,0-9,221508.79470334167,9.419699696213298,94.19699696213299,59.209540947626444,44.407155710719834,0,0.0,0.0,0.4175999999999999,0.171,0.0078,0,0
2020-04-04,HYKS,0-9,221488.66762569224,11.249434027979326,112.49434027979326,70.71072817587005,53.03304613190253,0,0.0,0.0,0.4175999999999999,0.171,0.0078,0,0
2020-04-05,HYKS,0-9,221485.3180309166,11.53761537121959,115.3761537121959,72.5221537619517,54.391615321463775,0,0.0,0.0,0.5858,0.1824,0.0119999999999999,0,0
2020-04-06,HYKS,0-9,221473.98024720498,12.568322981366455,125.68322981366455,79.00088731144629,59.25066548358472,0,0.0,0.0,0.5858,0.1824,0.0119999999999999,0,0
2020-04-07,HYKS,0-9,221461.20359283613,13.72983701489748,137.2983701489748,86.30183266506987,64.7263744988024,0,0.0,0.0,0.5858,0.1824,0.0131999999999999,0,0
2020-04-08,HYKS,0-9,221454.4925406622,14.338532667071387,143.38532667071388,90.12791962159157,67.59593971619368,0,0.0,0.0,0.5973999999999999,0.1862,0.015,0,0
2020-04-09,HYKS,0-9,221459.64108212767,13.868374352029118,138.6837435202912,87.17263878418304,65.37947908813727,0,0.0,0.0,0.6205999999999999,0.1862,0.015,0,0
2020-04-10,HYKS,0-9,221463.66807673217,13.503883933436047,135.03883933436046,84.88155615302657,63.661167114769924,0,0.0,0.0,0.5915999999999999,0.1976,0.0174,0,0
2020-04-11,HYKS,0-9,221482.24242409127,11.815306900792326,118.15306900792325,74.2676433764089,55.700732532306674,0,0.0,0.0,0.5915999999999999,0.1976,0.0174,0,0
2020-04-12,HYKS,0-9,221487.34579663444,11.34765485141422,113.4765485141422,71.32811620888937,53.49608715666703,0,0.0,0.0,0.6437999999999999,0.1862,0.0233999999999999,0,0
2020-04-13,HYKS,0-9,221496.26237379163,10.537056928034337,105.37056928034337,66.23292926193011,49.67469694644758,0,0.0,0.0,0.6437999999999999,0.1862,0.0233999999999999,0,0
2020-04-14,HYKS,0-9,221493.5565971203,10.781982079973861,107.81982079973861,67.77245878840712,50.82934409130534,0,0.0,0.0,0.6554,0.1862,0.0257999999999999,0,0
2020-04-15,HYKS,0-9,221477.63096999552,12.231530000407853,122.31530000407852,76.8839028597065,57.66292714477987,0,0.0,0.0,0.6322,0.19,0.0294,0,0
2020-04-16,HYKS,0-9,221463.39779198627,13.532673455791336,135.32673455791337,85.06251886497411,63.79688914873058,0,0.0,0.0,0.5451999999999999,0.1976,0.0306,0,0
2020-04-17,HYKS,0-9,221454.3464224204,14.354634325415667,143.54634325415668,90.22913004546992,67.67184753410244,0,0.0,0.0,0.5626,0.19,0.0324,0,0
2020-04-18,HYKS,0-9,221434.65356731703,16.144893880270246,161.44893880270246,101.48219010455583,76.11164257841686,0,0.0,0.0,0.5626,0.19,0.0324,0,0
2020-04-19,HYKS,0-9,221426.64162031567,16.872343607662867,168.72343607662867,106.05473124816658,79.54104843612494,0,0.0,0.0,0.5915999999999999,0.171,0.0402,0,0
2020-04-20,HYKS,0-9,221421.08803291136,17.377215189873365,173.77215189873365,109.22820976491829,81.92115732368872,0,0.0,0.0,0.5915999999999999,0.171,0.0402,0,0
2020-04-21,HYKS,0-9,221392.00032916895,20.02240643918542,200.2240643918542,125.8551261891655,94.39134464187413,0,0.0,0.0,0.5973999999999999,0.1558,0.0659999999999999,0,0
2020-04-22,HYKS,0-9,221384.66816529995,20.689512245459508,206.89512245459508,130.04836268574547,97.5362720143091,0,0.0,0.0,0.58,0.1672,0.0707999999999999,0,0
2020-04-23,HYKS,0-9,221364.70090836543,22.501190148596553,225.01190148596552,141.4360523626069,106.07703927195517,0,0.0,0.0,0.6264,0.1596,0.0833999999999999,0,0
2020-04-24,HYKS,0-9,221342.58392162903,24.51253439735825,245.12534397358252,154.07878764053757,115.55909073040318,0,0.0,0.0,0.6148,0.1634,0.0863999999999999,0,0
2020-04-25,HYKS,0-9,221336.9064278206,25.028670198128758,250.2867019812876,157.32306981680932,117.99230236260699,0,0.0,0.0,0.6148,0.1634,0.0863999999999999,0,0
2020-04-26,HYKS,0-9,221317.5249495872,26.791840946615277,267.91840946615275,168.40585737872456,126.30439303404343,0,0.0,0.0,0.609,0.1558,0.0941999999999999,0,0
2020-04-27,HYKS,0-9,221304.9675369565,27.93342391304346,279.3342391304346,175.5815217391303,131.68614130434773,0,0.0,0.0,0.609,0.1558,0.0941999999999999,0,0
2020-04-28,HYKS,0-9,221313.68130427453,27.137045065950154,271.37045065950156,170.57571184311524,127.93178388233643,0,0.0,0.0,0.6554,0.1558,0.0953999999999999,0,0
2020-04-29,HYKS,0-9,221300.67469912066,28.31573644357595,283.1573644357595,177.98462907390595,133.48847180542947,0,0.0,0.0,0.7192,0.133,0.0989999999999999,0,0
2020-04-30,HYKS,0-9,221304.59892772348,27.967406570591102,279.674065705911,175.79512701514406,131.84634526135804,0,0.0,0.0,0.6379999999999999,0.1216,0.102,0,0
2020-05-01,HYKS,0-9,221320.78783339032,26.49516060087933,264.9516060087933,166.5410094912415,124.90575711843113,0,0.0,0.0,0.6437999999999999,0.1216,0.1061999999999999,0,0
2020-05-02,HYKS,0-9,221337.0166285784,25.019815583781142,250.1981558378114,157.26741224091003,117.95055918068252,0,0.0,0.0,0.6437999999999999,0.1216,0.1061999999999999,0,0
2020-05-03,HYKS,0-9,221346.7668084758,24.12852650219834,241.2852650219834,151.66502372810385,113.74876779607789,0,0.0,0.0,0.6901999999999999,0.1292,0.1176,0,0
2020-05-04,HYKS,0-9,221348.1806,24.000000000000004,240.00000000000003,150.8571428571429,113.14285714285717,0,0.0,0.0,0.6901999999999999,0.1292,0.1176,0,0
2020-05-05,HYKS,0-9,221344.17408393277,24.362992369748508,243.62992369748508,153.13880918127632,114.85410688595724,0,0.0,0.0,0.7076,0.1254,0.1211999999999999,0,0
2020-05-06,HYKS,0-9,221353.46095889495,23.519603736820052,235.1960373682005,147.8375092028689,110.87813190215167,0,0.0,0.0,0.7018,0.1216,0.1241999999999999,0,0
2020-05-07,HYKS,0-9,221361.06285526924,22.835904066432345,228.35904066432346,143.53996841757473,107.65497631318105,0,0.0,0.0,0.6205999999999999,0.1216,0.1253999999999999,0,0
2020-05-08,HYKS,0-9,221353.28717073554,23.541911751315705,235.41911751315706,147.97773100827013,110.9832982562026,0,0.0,0.0,0.6264,0.1254,0.1278,0,0
2020-05-09,HYKS,0-9,221339.84851322274,24.763607888842333,247.63607888842333,155.65696387272325,116.74272290454243,0,0.0,0.0,0.6264,0.1254,0.1278,0,0
2020-05-10,HYKS,0-9,221343.89169361352,24.396918762405964,243.96918762405963,153.35206079226606,115.01404559419954,0,0.0,0.0,0.6205999999999999,0.1216,0.1326,0,0
2020-05-11,HYKS,0-9,221360.50577406806,22.886547811993495,228.86547811993495,143.85830053253054,107.8937253993979,0,0.0,0.0,0.6205999999999999,0.1216,0.1326,0,0
2020-05-12,HYKS,0-9,221397.30842571583,19.544324934924596,195.44324934924595,122.85004244809744,92.13753183607308,0,0.0,0.0,0.609,0.095,0.1337999999999999,0,0
2020-05-13,HYKS,0-9,221433.8417754727,16.22223859338931,162.2223859338931,101.9683568727328,76.4762676545496,0,0.0,0.0,0.6148,0.0988,0.1392,0,0
2020-05-14,HYKS,0-9,221459.0142019449,13.940327095918661,139.4032709591866,87.62491317434586,65.7186848807594,0,0.0,0.0,0.5509999999999999,0.0912,0.1404,0,0
2020-05-15,HYKS,0-9,221490.79602380694,11.062488744822613,110.62488744822613,69.535643538885,52.151732654163744,0,0.0,0.0,0.4291999999999999,0.0874,0.144,0,0
2020-05-16,HYKS,0-9,221513.12107332973,9.032938788206208,90.32938788206208,56.778472383010445,42.583854287257836,0,0.0,0.0,0.4291999999999999,0.0874,0.144,0,0
2020-05-17,HYKS,0-9,221528.75522052945,7.612543588232403,76.12543588232403,47.8502739831751,35.887705487381325,0,0.0,0.0,0.4117999999999999,0.095,0.1475999999999999,0,0
2020-05-18,HYKS,0-9,221534.04875555556,7.131313131313131,71.31313131313131,44.82539682539682,33.61904761904761,0,0.0,0.0,0.4117999999999999,0.095,0.1475999999999999,0,0
2020-05-19,HYKS,0-9,221515.7932457516,8.792632204396906,87.92632204396907,55.267973856209125,41.45098039215684,0,0.0,0.0,0.4117999999999999,0.076,0.1482,0,0
2020-05-20,HYKS,0-9,221497.4854520865,10.45203162850221,104.5203162850221,65.69848452201389,49.27386339151042,0,0.0,0.0,0.4813999999999999,0.0608,0.15,0,0
2020-05-21,HYKS,0-9,221479.69666415287,12.071666895196296,120.71666895196296,75.87904905551957,56.90928679163968,0,0.0,0.0,0.4466,0.0684,0.1511999999999999,0,0
2020-05-22,HYKS,0-9,221474.6803171443,12.52698935051875,125.2698935051875,78.74107591754642,59.05580693815982,0,0.0,0.0,0.4581999999999999,0.0646,0.1511999999999999,0,0
2020-05-23,HYKS,0-9,221460.48323318252,13.817633347045097,138.17633347045097,86.85369532428346,65.1402714932126,0,0.0,0.0,0.4581999999999999,0.0646,0.1511999999999999,0,0
2020-05-24,HYKS,0-9,221454.42052991453,14.371406371406355,143.71406371406354,90.33455433455423,67.75091575091567,0,0.0,0.0,0.4407999999999999,0.0532,0.1518,0,0
2020-05-25,HYKS,0-9,221445.86346606334,15.149321266968311,151.49321266968312,95.22430510665795,71.41822882999347,0,0.0,0.0,0.4407999999999999,0.0532,0.1518,0,0
2020-05-26,HYKS,0-9,221457.7710879327,14.071010187935473,140.71010187935474,88.44634975273726,66.33476231455295,0,0.0,0.0,0.4059999999999999,0.0418,0.153,0,0
2020-05-27,HYKS,0-9,221471.84422270214,12.795325208894303,127.95325208894303,80.42775845590704,60.32081884193028,0,0.0,0.0,0.3653999999999999,0.0418,0.1541999999999999,0,0
2020-05-28,HYKS,0-9,221499.5388863004,10.278683063598248,102.78683063598248,64.60886497118899,48.45664872839174,0,0.0,0.0,0.3538,0.0418,0.1541999999999999,0,0
2020-05-29,HYKS,0-9,221500.83893037782,10.164006329289608,101.64006329289607,63.8880397841061,47.916029838079574,0,0.0,0.0,0.3189999999999999,0.038,0.1548,0,0
2020-05-30,HYKS,0-9,221514.38502592788,8.932543097465498,89.32543097465498,56.14741375549741,42.11056031662306,0,0.0,0.0,0.3189999999999999,0.038,0.1548,0,0
2020-05-31,HYKS,0-9,221520.0086651195,8.425866807317536,84.25866807317536,52.96259136028165,39.721943520211234,0,0.0,0.0,0.2725999999999999,0.0342,0.1566,0,0
2020-06-01,HYKS,0-9,221528.87724907976,7.6196319018404814,76.19631901840481,47.894829097283015,35.92112182296226,0,0.0,0.0,0.2725999999999999,0.0342,0.1566,0,0
2020-06-02,HYKS,0-9,221540.43044812544,6.57197744314308,65.7197744314308,41.309572499756506,30.98217937481738,0,0.0,0.0,0.2435999999999999,0.0342,0.1578,0,0
2020-06-03,HYKS,0-9,221548.02124035446,5.885232695048641,58.852326950486415,36.99289122602003,27.744668419515023,0,0.0,0.0,0.2145999999999999,0.0266,0.1583999999999999,0,0
2020-06-04,HYKS,0-9,221533.9377424676,7.166077957488996,71.66077957488996,45.043918589930826,33.78293894244812,0,0.0,0.0,0.2087999999999999,0.0266,0.1589999999999999,0,0
2020-06-05,HYKS,0-9,221538.13128984324,6.7850281960711385,67.85028196071138,42.64874866101858,31.986561495763937,0,0.0,0.0,0.2029999999999999,0.0304,0.1589999999999999,0,0
2020-06-06,HYKS,0-9,221538.1156115883,6.786453491974962,67.86453491974962,42.657707663842615,31.99328074788196,0,0.0,0.0,0.2029999999999999,0.0304,0.1589999999999999,0,0
2020-06-07,HYKS,0-9,221535.3543423313,7.042387060791967,70.42387060791967,44.266432953549504,33.19982471516213,0,0.0,0.0,0.1566,0.0228,0.1596,0,0
2020-06-08,HYKS,0-9,221538.15393333335,6.787878787878787,67.87878787878788,42.66666666666666,31.999999999999993,0,0.0,0.0,0.1566,0.0228,0.1596,0,0
2020-06-09,HYKS,0-9,221546.09102222222,6.07070707070707,60.7070707070707,38.15873015873015,28.619047619047613,0,0.0,0.0,0.1159999999999999,0.0152,0.1601999999999999,0,0
2020-06-10,HYKS,0-9,221554.72065185185,5.2861952861952854,52.86195286195286,33.22751322751322,24.920634920634917,0,0.0,0.0,0.1159999999999999,0.0152,0.1601999999999999,0,0
2020-06-11,HYKS,0-9,221573.0655851852,3.619528619528619,36.19528619528619,22.751322751322743,17.063492063492056,0,0.0,0.0,0.1043999999999999,0.0152,0.1608,0,0
2020-06-12,HYKS,0-9,221580.00691111112,2.989898989898989,29.898989898989893,18.793650793650787,14.09523809523809,0,0.0,0.0,0.0928,0.0114,0.1608,0,0
2020-06-13,HYKS,0-9,221587.4883925926,2.3097643097643084,23.097643097643083,14.518518518518508,10.88888888888888,0,0.0,0.0,0.0928,0.0114,0.1608,0,0
2020-06-14,HYKS,0-9,221595.55666666667,1.5757575757575744,15.757575757575744,9.904761904761896,7.428571428571422,0,0.0,0.0,0.0986,0.0114,0.1614,0,0
2020-06-15,HYKS,0-9,221596.1862962963,1.5185185185185168,15.18518518518517,9.544973544973534,7.15873015873015,0,0.0,0.0,0.0986,0.0114,0.1614,0,0
2020-06-16,HYKS,0-9,221577.41959041392,3.224400871459694,32.24400871459694,20.267662620603787,15.20074696545284,0,0.0,0.0,0.1043999999999999,0.0076,0.1614,0,0
2020-06-17,HYKS,0-9,221569.0920862745,3.9803921568627443,39.803921568627445,25.019607843137248,18.764705882352935,0,0.0,0.0,0.1159999999999999,0.0076,0.1614,0,0
2020-06-18,HYKS,0-9,221565.26143790848,4.33986928104575,43.398692810457504,27.27917833800186,20.459383753501395,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-06-19,HYKS,0-9,221557.76034858386,5.021786492374727,50.21786492374727,31.565515094926855,23.674136321195142,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-06-20,HYKS,0-9,221561.83442265794,4.651416122004357,46.51416122004357,29.237472766884526,21.928104575163395,0,0.0,0.0,0.0,0.0,0.0,0,0
2020-06-21,HYKS,0-9,221559.08625708058,4.891067538126362,48.910675381263616,30.743853096794272,23.057889822595705,0,0.0,0.0,0.1043999999999999,0.0076,0.1619999999999999,0,0
